آ	اس	0.230769
آخرین	وضعیت	0.177156
آخرین	بازی	0.062937
آخرین	روز	0.044289
آخرین	آمار	0.039627
آخرین	بار	0.037296
آخرین	جلسه	0.027972
آخرین	اطلاعات	0.018648
آخرین	تمرین	0.016317
آخرین	لحظه	0.016317
آخرین	ماه	0.016317
آخرین	اخبار	0.016317
آخرین	قیمت	0.013986
آخرین	لحظات	0.013986
آخرین	نسخه	0.013986
آخرین	مهلت	0.011655
آخرین	باری	0.011655
آخرین	شب	0.011655
آخرین	مورد	0.011655
آخرین	نشست	0.011655
آخرین	شرایط	0.011655
آخرین	گزارش	0.009324
آخرین	و	0.009324
آخرین	جمعه	0.009324
آخرین	برنامه	0.009324
آخرین	اثر	0.006993
آخرین	مسابقه	0.006993
آخرین	فصل	0.006993
آخرین	نفر	0.006993
آخرین	مصاحبه	0.006993
آخرین	تلاش	0.006993
آخرین	فرصت	0.006993
آر	سی	0.200000
آر	پی	0.150000
آرامش	و	0.225000
آرامش	در	0.080000
آرامش	را	0.060000
آرامش	بیشتری	0.040000
آرامش	مردم	0.035000
آرامش	به	0.035000
آرامش	داشته	0.025000
آرامش	برای	0.020000
آرامش	خاطر	0.020000
آرامش	جامعه	0.020000
آرامش	تیم	0.020000
آرامش	خود	0.015000
آرامش	باشد	0.015000
آرامش	روح	0.015000
آرامش	بازار	0.015000
آرامش	شهروندان	0.015000
آرامش	بخشی	0.015000
آرزو	میکنم	0.205882
آرزو	کرد	0.088235
آزاد	و	0.081928
آزاد	شده	0.069880
آزاد	است	0.062651
آزاد	شد	0.055422
آزاد	در	0.045783
آزاد	کند	0.033735
آزاد	شدند	0.031325
آزاد	کرد	0.028916
آزاد	راه	0.026506
آزاد	به	0.021687
آزاد	سازی	0.021687
آزاد	را	0.021687
آزاد	کشور	0.019277
آزاد	کرده	0.016867
آزاد	با	0.014458
آزاد	کنید	0.012048
آزاد	میکنند	0.012048
آزاد	باشد	0.012048
آزاد	خواهد	0.012048
آزاد	شدن	0.012048
آزاد	هستند	0.012048
آزاد	کن	0.012048
آزاد	میکند	0.009639
آزاد	شوند	0.009639
آزاد	خواهند	0.009639
آزاد	برای	0.009639
آزاد	کردند	0.009639
آزاد	کنند	0.009639
آزاد	جهان	0.007229
آزاد	باید	0.007229
آزاد	می	0.007229
آزاد	کردن	0.007229
آزاد	شود	0.007229
آزاد	شدم	0.007229
آزمون	و	0.107784
آزمون	در	0.095808
آزمون	به	0.089820
آزمون	که	0.047904
آزمون	را	0.047904
آزمون	ورودی	0.041916
آزمون	از	0.035928
آزمون	هم	0.017964
آزمون	با	0.017964
آزمون	مجدد	0.017964
آسانسور	در	0.173913
آسیب	دیده	0.153226
آسیب	به	0.133065
آسیب	جدی	0.064516
آسیب	های	0.060484
آسیب	وارد	0.048387
آسیب	دید	0.040323
آسیب	شناسی	0.040323
آسیب	در	0.028226
آسیب	را	0.028226
آسیب	زده	0.024194
آسیب	می	0.024194
آسیب	دیدن	0.024194
آسیب	و	0.024194
آسیب	خواهد	0.016129
آسیب	اجتماعی	0.016129
آسیب	زننده	0.012097
آسیب	بزنند	0.012097
آسیب	جانی	0.012097
آسیب	ندیده	0.012097
آسیب	رسیدن	0.012097
آسیب	زدن	0.012097
