а	а	а	0.444444
а	и	жогорку	0.142857
аба	жана	күн	0.333333
абсолюттук	катуу	нерсе	1.000000
ага	жакын	жайгашкан	0.750000
ага	илимий	кызматкер	1.000000
адабий	ала	тоо	1.000000
адабий	кызматкер	болуп	0.615385
адабий	кызматкер	бөлүм	0.230769
адабият	жана	тарых	0.583333
адам	ар	кандай	1.000000
адам	үчүн	да	0.333333
административдик	курамы	боюнча	1.000000
аз	болсо	да	0.416667
аз	да	болсо	1.000000
аз	же	көп	0.833333
азыр	да	өз	0.136364
азыркы	учурда	бул	0.140351
азыркы	учурда	да	0.087719
азыркы	учурда	бир	0.070175
азыркы	ысык	көл	0.750000
ак	боз	ат	0.500000
ак	жана	кара	0.333333
ак	сөөк	үй	0.625000
актер	жана	продюсер	0.300000
актер	жана	ырчы	0.300000
актер	жана	музыкант	0.300000
ал	азыркы	учурда	0.600000
ал	акырындык	менен	1.000000
ал	ар	кандай	0.481481
ал	ар	бир	0.333333
ал	ар	кыл	0.111111
ал	белгилүү	бир	0.600000
ал	бир	гана	0.176471
ал	бир	катар	0.176471
ал	илимий	изилдөө	0.750000
ал	кандайдыр	бир	1.000000
ал	кээ	бир	0.800000
ал	эл	аралык	1.000000
ал	үчүн	атайын	0.093750
ала	бука	райондук	0.375000
ала	бука	айыл	0.375000
алар	ар	кандай	0.444444
алар	жөнүндө	алгачкы	0.750000
алар	менен	бирге	0.260870
алдын	ала	көрүү	0.090909
алдын	алуу	үчүн	0.529412
алдын	алуу	жана	0.161765
алдын	алуу	боюнча	0.058824
алтын	күмүш	жана	0.428571
алтын	көл	эстелик	0.800000
алтын	медаль	менен	0.733333
алуу	жана	дарылоо	0.178571
алуу	жана	башка	0.142857
алуу	жүрөк	кан	1.000000
алуу	менен	бирге	0.100000
алуу	үчүн	атайын	0.066667
алып	ар	бир	1.000000
алып	келет	жана	0.137931
алып	келет	ал	0.103448
алып	келет	бул	0.103448
алып	келет	да	0.103448
алып	келүү	менен	0.500000
алып	келүү	үчүн	0.250000
америкалык	актер	жана	0.631579
америкалык	актриса	жана	0.750000
анда	ар	кандай	0.500000
анда	ар	бир	0.333333
анткени	ар	бир	1.000000
аралык	коомчулук	менен	1.000000
аркылуу	ар	кандай	0.500000
аркылуу	гана	ишке	0.428571
аркылуу	пайда	болот	1.000000
ат	менен	белгилүү	0.515152
ат	менен	да	0.090909
ат	менен	жарык	0.060606
атайын	орто	окуу	0.777778
аты	менен	белгилүү	0.333333
ачык	асман	астында	1.000000
ачык	билим	берүү	0.833333
ачык	жана	жабык	0.230769
ачык	жол	менен	0.750000
аш	анын	ичинде	1.000000
аш	жеңил	өнөр	1.000000
аш	эт	сүт	1.000000
аш	өнөр	жай	1.000000
бай	жана	ар	0.428571
бала	бакча	бар	0.250000
бала	бакча	клуб	0.250000
бала	бакча	маданият	0.187500
балык	жана	деңиз	0.500000
бар	анын	ичинде	0.750000
бар	ар	бир	0.666667
бар	болуп	турат	0.600000
бар	же	жок	1.000000
басып	алуу	жана	0.500000
басып	алуу	үчүн	0.375000
басып	алып	жергиликтүү	0.300000
басып	чыгаруу	үчүн	0.750000
баш	ийүү	менен	0.666667
баш	көз	болуп	1.000000
башка	ар	кандай	0.750000
башка	болуп	айырмаланат	0.600000
башка	да	бир	0.160000
башка	дагы	бир	0.500000
башка	жол	менен	1.000000
башка	кээ	бир	1.000000
башка	сөз	менен	1.000000
башка	эл	аралык	0.714286
башка	эч	нерсе	0.428571
башка	өнөр	жай	1.000000
башкы	айыл	чарба	1.000000
башкы	өнөр	жай	1.000000
башталгыч	билим	берүү	1.000000
башталгыч	жана	орто	0.666667
баштапкы	жана	акыркы	0.600000
белгилүү	бир	мезгил	0.130435
белгилүү	бир	тарыхый	0.065217
белгилүү	бир	убакыт	0.065217
белгилүү	болсо	да	0.714286
белгилүү	болуп	калган	0.400000
белгилөө	үчүн	колдонулган	0.428571
берүү	жана	илим	0.296296
билим	берүү	жана	0.265823
билим	берүү	системасы	0.126582
билим	берүү	боюнча	0.075949
билим	берүү	менен	0.075949
билим	берүү	илим	0.063291
билим	берүү	жөнүндө	0.050633
билим	берүү	орто	0.037975
билим	жана	маданият	0.600000
бир	адам	өз	0.200000
бир	аз	гана	0.119403
бир	аз	убакыт	0.104478
бир	аз	бөлүгү	0.104478
бир	аз	жогору	0.044776
бир	багыт	боюнча	1.000000
бир	бүтүн	нерсе	0.454545
бир	бөлүгү	катары	0.180000
бир	бөлүгү	болуп	0.180000
бир	бөлүгү	чыгыш	0.060000
бир	гана	түрү	0.085106
бир	жана	көп	0.466667
бир	жана	эки	0.333333
бир	же	бир	0.623377
бир	же	көп	0.168831
бир	же	эки	0.168831
бир	жыл	ичинде	0.307692
бир	жылдык	чөп	0.500000
бир	катар	илимий	0.091954
бир	катар	болуп	0.091954
бир	катар	социалдык	0.045977
бир	катар	теориялык	0.034483
бир	катар	араб	0.034483
бир	катар	башка	0.034483
бир	кыз	бир	0.500000
бир	кыз	бар	0.300000
бир	көп	жылдык	0.800000
бир	сөз	менен	0.428571
бир	топ	жыл	0.071429
бир	топ	убакыт	0.071429
бир	топ	бөлүгү	0.071429
бир	топ	чоң	0.053571
бир	тууган	жана	0.500000
бир	түрү	болуп	0.232558
бир	түрү	катары	0.186047
бир	түрү	жана	0.069767
бир	убакыт	ичинде	1.000000
бир	учурда	эки	0.166667
бир	эки	жана	0.347826
бир	эки	же	0.173913
бир	эки	жыл	0.130435
бирдей	болушу	керек	0.800000
бирок	ал	өз	0.108696
бирок	ал	бир	0.086957
бирок	анын	бул	0.130435
бирок	ар	бир	0.642857
бирок	ар	кандай	0.214286
бирок	баары	бир	1.000000
бирок	бул	учурда	0.097561
бирок	кээ	бир	1.000000
бирок	көп	учурда	0.714286
бирок	ошондой	болсо	1.000000
бирок	тилекке	каршы	1.000000
болот	да	ал	0.115385
болот	да	анын	0.115385
болот	жана	ал	0.250000
болот	же	болбосо	0.444444
болуу	менен	бирге	0.350000
болуу	менен	башка	0.150000
болушу	да	мүмкүн	0.666667
болушу	да	ыктымал	0.200000
болушу	жана	алардын	0.214286
болушу	жана	башка	0.214286
болушу	мүмкүн	бирок	0.200000
болушу	мүмкүн	деп	0.100000
борбордук	бөлүгү	аркылуу	0.375000
борбордук	жана	түштүк	0.285714
борбордук	жана	чыгыш	0.214286
борбордук	жана	ички	0.142857
борбордук	жана	орто	0.142857
борбордук	нерв	системасы	1.000000
бул	дүйнө	менен	0.600000
бул	жол	менен	0.500000
бул	кандайдыр	бир	1.000000
бул	маселе	боюнча	0.600000
бул	оору	менен	0.400000
бул	процесс	бир	0.333333
бул	ролу	үчүн	0.857143
бул	теория	боюнча	0.333333
бул	учурда	оорулуу	0.078431
бул	учурда	бир	0.078431
бул	ыкма	менен	0.333333
бут	кийим	жана	0.166667
бут	менен	тебүү	0.600000
бөлүгү	түштүк	батыш	1.000000
бөлүп	чыгаруу	менен	0.437500
бөлүп	чыгаруу	системасы	0.187500
га	анын	миң	0.800000
га	жакын	түрү	0.300000
газ	же	суюктук	0.750000
газ	менен	камсыз	0.500000
газ	өнөр	жай	1.000000
гана	болушу	мүмкүн	1.000000
гана	пайда	болот	0.800000
дагы	бир	маанилүү	0.075758
дагы	бир	өзгөчөлүгү	0.060606
дагы	бир	бөлүгү	0.045455
дагы	бир	катар	0.045455
дагы	ушундай	сыяктуу	1.000000
дайыма	жашыл	токой	0.409091
дайыма	жашыл	нымдуу	0.181818
дайыма	жашыл	дарак	0.136364
деп	да	белгилүү	0.750000
деңиз	жана	көл	0.272727
добуш	берүү	добуш	0.272727
достук	үчүн	футбол	1.000000
дээрлик	ар	бир	1.000000
дээрлик	толугу	менен	1.000000
дүйнө	жүзү	боюнча	0.961538
дүйнө	менен	кош	0.600000
жай	айыл	чарба	1.000000
жалпы	билим	берүү	0.833333
жалпы	жана	жергиликтүү	0.357143
жалпы	жана	жеке	0.214286
жалпы	орто	билим	1.000000
жалпы	саны	миң	0.500000
жалпы	узундугу	миң	0.714286
жалпы	эреже	боюнча	1.000000
жана	ага	байланыштуу	0.186047
жана	ага	жакын	0.139535
жана	ага	ылайык	0.093023
жана	ага	байланышкан	0.093023
жана	адабият	таануу	0.600000
жана	айыл	чарба	0.950000
жана	акыл	эс	1.000000
жана	ала	бука	0.500000
жана	алар	менен	0.318182
жана	алардын	өз	0.155556
жана	алардын	түрлөрү	0.066667
жана	алдын	алуу	0.909091
жана	анын	айланасында	0.047619
жана	анын	бир	0.038095
жана	анын	ичинде	0.028571
жана	анын	эки	0.028571
жана	анын	ордуна	0.028571
жана	анын	башка	0.028571
жана	ар	кандай	0.500000
жана	ар	бир	0.282609
жана	ар	кайсы	0.065217
жана	ар	башка	0.065217
жана	аңчылык	менен	1.000000
жана	башка	менен	0.053435
жана	башка	бар	0.050891
жана	башка	жана	0.020356
жана	башка	көп	0.020356
жана	башка	пайда	0.017812
жана	башка	тиешелүү	0.015267
жана	башка	улут	0.015267
жана	башка	илимий	0.012723
жана	башка	жайгашкан	0.012723
жана	башка	болуп	0.012723
жана	башка	чет	0.012723
жана	башка	өнөр	0.012723
жана	башка	болот	0.010178
жана	башка	аркылуу	0.010178
жана	башка	баалуу	0.010178
жана	башка	маалымат	0.010178
жана	башка	газ	0.010178
жана	башка	эл	0.010178
жана	башка	түрлөрү	0.010178
жана	башка	үчүн	0.010178
жана	башка	коомдук	0.010178
жана	башка	негизги	0.010178
жана	башка	боюнча	0.007634
жана	башка	ошондой	0.007634
жана	башка	белгилүү	0.007634
жана	башка	же	0.007634
жана	башка	сыяктуу	0.007634
жана	башка	жалпы	0.007634
жана	башка	кошумча	0.007634
жана	башка	укук	0.007634
жана	белгилүү	бир	0.833333
жана	бийик	тоо	1.000000
жана	билим	берүү	1.000000
жана	бир	катар	0.277778
жана	бир	аз	0.222222
жана	бир	топ	0.083333
жана	бир	жылдык	0.083333
жана	болжол	менен	1.000000
жана	дайыма	жашыл	0.600000
жана	дарылоо	үчүн	0.500000
жана	дем	алуу	1.000000
жана	дүйнө	жүзү	0.833333
жана	жабдуулар	менен	0.600000
жана	жалпы	билим	0.200000
жана	жарым	чөл	1.000000
жана	жашылча	жемиш	1.000000
жана	жеке	менчик	0.500000
жана	жети	суу	0.800000
жана	жогорку	окуу	0.342857
жана	жогорку	билим	0.342857
жана	жок	болуп	0.714286
жана	зат	алмашуу	1.000000
жана	илимий	изилдөө	0.210526
жана	кабыл	алуучу	0.600000
жана	кайра	иштетүү	0.500000
жана	кандайдыр	бир	0.857143
жана	кийин	пайда	0.833333
жана	кол	менен	0.800000
жана	кээ	бир	1.000000
жана	көп	жылдык	0.400000
жана	көп	учурда	0.333333
жана	массалык	маалымат	0.750000
жана	машина	куруу	0.625000
жана	металл	иштетүү	1.000000
жана	ок	дары	1.000000
жана	орто	билим	0.263158
жана	орто	бийик	0.157895
жана	орто	окуу	0.157895
жана	ошону	менен	1.000000
жана	пайда	болуу	1.000000
жана	сатып	алуу	1.000000
жана	сейрек	токой	0.700000
жана	сокур	ишеним	1.000000
жана	сол	канат	0.400000
жана	социалдык	маданий	0.157895
жана	социалдык	экономикалык	0.157895
жана	спорт	менен	0.444444
жана	спорт	боюнча	0.444444
жана	суу	менен	0.230769
жана	суу	чарба	0.230769
жана	сыр	дарыя	0.750000
жана	тамак	аш	1.000000
жана	таш	көмүр	0.600000
жана	темир	жол	0.722222
жана	техника	боюнча	0.818182
жана	тоо	аралык	0.571429
жана	түндүк	чыгыш	0.500000
жана	түндүк	батыш	0.428571
жана	түштүк	чыгыш	0.517241
жана	түштүк	батыш	0.241379
жана	ушундай	сыяктуу	1.000000
жана	физикалык	химия	0.600000
жана	химиялык	технология	0.333333
