آخذ	في	التراجع	1.000000
آر	بي	جي	0.600000
آمل	أن	يكون	0.230769
أبريل	من	العام	0.750000
أبي	طالب	عليه	0.500000
أبي	عبد	الله	1.000000
أخبار	القناة	يوم	0.500000
أدلة	على	أن	0.250000
أربعة	أشخاص	على	0.307692
أربعة	أشهر	في	0.375000
أربعة	أيام	من	0.333333
أربعة	أيام	على	0.200000
أسهل	بكثير	من	0.600000
أصيب	بها	في	0.444444
أصيب	عدد	من	1.000000
أصيب	في	الهجوم	0.333333
أطلقوا	النار	على	0.687500
أطلقوا	عليه	اسم	1.000000
أعتقد	أن	هذا	0.208955
أعتقد	أن	هناك	0.179104
أعتقد	أن	الجميع	0.044776
أعتقد	أنه	من	0.125000
أعتقد	أنه	في	0.100000
أعتقد	أنه	لا	0.075000
أعتقد	أنه	كان	0.075000
أعضاء	السلطة	المحلية	1.000000
أعضاء	اللجنة	من	0.230769
أعضاء	المجلس	الأعلى	0.294118
أعضاء	في	مجلس	0.294118
أعضاء	مجلس	الأمن	0.297297
أعضاء	مجلس	الشيوخ	0.297297
أعضاء	مجلس	إدارة	0.108108
أعضاء	مجلس	الإدارة	0.108108
أعضاء	مجلس	حقوق	0.108108
أعضاء	من	الحكومة	0.200000
أعطيت	الأوامر	للعمل	1.000000
أفراد	من	عائلة	0.214286
أقول	هذا	الأمر	0.750000
أكثر	أهمية	من	0.562500
أكثر	أهمية	في	0.187500
أكثر	أو	أقل	1.000000
أكثر	بقليل	من	0.800000
أكثر	بكثير	من	0.666667
أكثر	بكثير	مما	0.200000
أكثر	خطورة	من	0.444444
أكثر	خطورة	على	0.333333
أكثر	صعوبة	في	0.272727
أكثر	قدرة	على	0.666667
أكثر	مم	ا	0.750000
أكثر	مما	هو	0.161290
أكثر	مما	تحتاج	0.096774
أكثر	من	ألف	0.123762
أكثر	من	مليون	0.093234
أكثر	من	من	0.046205
أكثر	من	أي	0.041254
أكثر	من	عام	0.036304
أكثر	من	مرة	0.029703
أكثر	من	نصف	0.024752
أكثر	من	شخص	0.024752
أكثر	من	في	0.022277
أكثر	من	ملايين	0.018977
أكثر	من	آلاف	0.018152
أكثر	من	ثلاثة	0.014851
أكثر	من	دولة	0.013201
أكثر	من	عاما	0.012376
أكثر	من	شخصا	0.011551
أكثر	من	ذلك	0.010726
أكثر	من	عامين	0.010726
أكثر	من	عقد	0.010726
