angela	phương	trinh	1.000000
anh	boris	johnson	1.000000
anh	bắt	đầu	0.785714
anh	chia	sẻ	0.920000
anh	cho	biết	0.626866
anh	cho	hay	0.104478
anh	cho	rằng	0.104478
anh	chàng	đã	0.119048
anh	chàng	còn	0.063492
anh	chàng	có	0.039683
anh	chàng	này	0.039683
anh	chàng	cũng	0.031746
anh	chàng	sẽ	0.023810
anh	chánh	văn	1.000000
anh	chính	là	0.444444
anh	chưa	từng	0.285714
anh	chưa	bao	0.190476
anh	chỉ	có	0.102564
anh	chỉ	muốn	0.102564
anh	chỉ	là	0.076923
anh	chị	em	0.338028
anh	chị	đi	0.056338
anh	chị	cũng	0.042254
anh	chủ	tịch	0.428571
anh	cu	ng	1.000000
anh	còn	là	0.083333
anh	còn	có	0.083333
anh	có	thể	0.253968
anh	có	phải	0.071429
anh	có	một	0.047619
anh	có	những	0.023810
anh	có	điểm	0.023810
anh	có	thêm	0.023810
anh	cùng	đồng	0.160000
anh	cùng	các	0.120000
anh	cùng	đội	0.120000
anh	cùng	với	0.120000
anh	cũng	có	0.093023
anh	cũng	là	0.085271
anh	cũng	đã	0.054264
anh	cũng	không	0.046512
anh	cũng	cho	0.038760
anh	cũng	rất	0.038760
anh	cũng	như	0.031008
anh	cũng	tự	0.023256
anh	cũng	từng	0.023256
anh	cảm	thấy	0.769231
anh	dành	cho	0.500000
anh	dự	định	0.375000
anh	em	chúng	0.057143
anh	em	họ	0.047619
anh	em	trong	0.028571
anh	em	và	0.028571
anh	em	của	0.028571
anh	em	nhà	0.028571
anh	em	nương	0.028571
anh	em	ruột	0.028571
anh	em	thân	0.028571
anh	em	đồng	0.028571
anh	ghi	bàn	0.428571
anh	ghi	được	0.285714
anh	gia	lai	0.886364
anh	giám	đốc	1.000000
anh	giảm	xuống	0.750000
anh	gần	như	0.800000
anh	hiện	tại	0.272727
anh	hoàn	toàn	0.666667
anh	hoàng	văn	0.136364
anh	huy	chung	0.600000
anh	huỳnh	văn	0.750000
anh	hà	nội	0.444444
anh	hôm	nay	0.750000
anh	hùng	liệt	0.111111
anh	hùng	này	0.079365
anh	hùng	lao	0.063492
anh	hùng	của	0.063492
anh	hùng	dân	0.047619
anh	hùng	sẽ	0.047619
anh	hạnh	phúc	1.000000
anh	im	lặng	1.000000
anh	không	thể	0.133333
anh	không	có	0.066667
anh	không	muốn	0.047619
anh	không	chỉ	0.047619
anh	không	còn	0.038095
anh	không	nghĩ	0.028571
anh	không	bao	0.028571
anh	không	nên	0.028571
anh	không	phải	0.028571
anh	khẳng	định	1.000000
anh	là	người	0.180180
anh	là	một	0.171171
anh	là	cầu	0.036036
anh	là	diễn	0.027027
anh	làm	việc	0.300000
anh	lê	văn	0.160000
anh	lê	thanh	0.120000
anh	lại	có	0.063830
anh	lại	được	0.063830
anh	lần	đầu	0.571429
anh	lập	tức	0.600000
anh	lựa	chọn	1.000000
anh	mùa	giải	0.363636
anh	mùa	này	0.272727
anh	mạnh	dạn	0.444444
anh	mới	có	0.200000
anh	nam	cho	0.333333
anh	nguyễn	văn	0.436364
anh	nguyễn	duy	0.054545
anh	ngô	văn	0.375000
anh	nhanh	chóng	1.000000
anh	nhận	được	0.343750
anh	nhận	thấy	0.125000
anh	nhận	ra	0.125000
anh	nhận	định	0.093750
anh	nhớ	lại	0.428571
anh	này	là	0.208333
anh	nói	rằng	0.100000
anh	nói	với	0.100000
anh	nói	tôi	0.075000
anh	nông	dân	0.750000
anh	nằm	trong	0.750000
anh	pháp	và	0.500000
anh	phạm	văn	0.400000
anh	quyết	định	0.750000
anh	quân	phó	0.200000
anh	ra	sân	0.250000
anh	rất	bất	0.093750
anh	rất	ít	0.093750
anh	sau	đó	0.333333
anh	sau	khi	0.333333
anh	sinh	năm	0.833333
anh	sơn	cho	0.217391
anh	sơn	và	0.130435
anh	sẵn	sàng	1.000000
anh	sẽ	không	0.115385
anh	sẽ	phải	0.076923
anh	sẽ	được	0.051282
