looking	forward	to	the	0.190000
looking	forward	to	a	0.171000
im	going	to	the	0.170000
im	going	to	a	0.153000
looking	forward	to	my	0.152000
i	need	to	the	0.140000
i	want	to	the	0.140000
im	going	to	my	0.136000
looking	forward	to	your	0.133000
i	need	to	a	0.126000
i	want	to	a	0.126000
im	going	to	your	0.119000
looking	forward	to	our	0.114000
how	do	you	are	0.112000
i	need	to	my	0.112000
i	want	to	my	0.112000
how	many	are	you	0.108000
im	going	to	our	0.102000
i	need	to	your	0.098000
i	want	to	your	0.098000
looking	forward	to	their	0.095000
how	are	you	can	0.089600
i	am	going	to	0.088000
nice	to	meet	you	0.088000
im	going	to	their	0.085000
i	need	to	our	0.084000
i	want	to	our	0.084000
happy	birthday	to	the	0.080000
how	do	you	can	0.078400
looking	forward	to	this	0.076000
do	you	want	to	0.072000
happy	birthday	to	a	0.072000
take	care	of	the	0.072000
how	was	it	is	0.070000
i	need	to	their	0.070000
i	want	to	their	0.070000
im	going	to	this	0.068000
we	are	going	to	0.066000
happy	birthday	to	my	0.064000
how	are	you	will	0.064000
how	many	do	you	0.064000
talk	to	you	are	0.064000
what	do	you	are	0.064000
where	are	you	can	0.061600
looking	forward	to	be	0.060800
how	did	it	is	0.060000
nice	to	see	you	0.060000
running	late	for	the	0.060000
what	time	is	it	0.060000
how	is	it	was	0.057600
looking	forward	to	that	0.057000
happy	birthday	to	your	0.056000
how	do	you	will	0.056000
i	need	to	this	0.056000
i	want	to	this	0.056000
where	do	you	are	0.056000
im	going	to	be	0.054400
running	late	for	a	0.054000
what	time	are	you	0.054000
im	not	going	to	0.052800
let	me	know	what	0.052800
they	are	going	to	0.052800
how	are	you	know	0.051200
how	are	you	have	0.051200
im	going	to	that	0.051000
i	have	to	the	0.050000
im	sorry	for	the	0.050000
meet	me	at	the	0.050000
thank	you	for	the	0.050000
happy	birthday	to	our	0.048000
how	much	is	it	0.048000
how	much	do	you	0.048000
i	love	you	are	0.048000
i	would	like	friend	0.048000
running	late	for	my	0.048000
what	did	you	are	0.048000
what	time	is	this	0.048000
when	do	you	are	0.048000
why	do	you	are	0.048000
looking	forward	to	do	0.045600
i	would	like	party	0.045440
hi	there	are	you	0.045000
i	have	to	a	0.045000
im	sorry	for	a	0.045000
meet	me	at	a	0.045000
thank	you	for	a	0.045000
talk	to	you	can	0.044800
what	do	you	can	0.044800
how	do	you	know	0.044800
how	do	you	have	0.044800
i	need	to	be	0.044800
i	want	to	be	0.044800
let	me	know	if	0.044000
let	me	know	that	0.044000
nice	to	meet	me	0.044000
where	are	you	will	0.044000
how	can	i	am	0.043200
how	did	it	was	0.043200
when	is	it	was	0.043200
where	is	it	was	0.043200
i	would	like	event	0.042880
i	need	to	that	0.042000
i	want	to	that	0.042000
running	late	for	your	0.042000
im	going	to	do	0.040800
i	would	like	invite	0.040320
good	to	see	you	0.040000
happy	birthday	to	their	0.040000
help	me	with	the	0.040000
how	can	you	are	0.040000
how	did	you	are	0.040000
i	have	to	my	0.040000
i	hope	you	are	0.040000
im	sorry	for	my	0.040000
meet	me	at	my	0.040000
running	late	to	the	0.040000
thank	you	for	my	0.040000
what	time	is	there	0.040000
when	will	you	are	0.040000
when	will	it	is	0.040000
why	did	you	are	0.040000
what	are	you	can	0.039200
when	are	you	can	0.039200
where	do	you	can	0.039200
how	are	you	should	0.038400
how	long	do	you	0.038400
how	much	is	this	0.038400
i	will	let	me	0.038400
im	so	happy	birthday	0.038400
what	time	do	you	0.038400
looking	forward	to	get	0.038000
i	would	like	message	0.037760
hello	there	are	you	0.036000
help	me	with	a	0.036000
hey	there	are	you	0.036000
i	dont	want	to	0.036000
running	late	to	a	0.036000
how	long	will	be	0.036000
meet	me	there	is	0.036000
running	late	for	our	0.036000
sorry	about	this	is	0.036000
what	is	it	was	0.036000
who	is	it	was	0.036000
why	is	it	was	0.036000
i	would	like	chat	0.035200
let	me	know	you	0.035200
nice	to	meet	at	0.035200
sorry	about	that	is	0.035200
where	are	you	know	0.035200
where	are	you	have	0.035200
i	have	to	your	0.035000
im	sorry	for	your	0.035000
meet	me	at	your	0.035000
thank	you	for	your	0.035000
im	going	to	get	0.034000
i	love	you	can	0.033600
what	did	you	can	0.033600
when	do	you	can	0.033600
why	do	you	can	0.033600
how	do	you	should	0.033600
i	need	to	do	0.033600
i	want	to	do	0.033600
forward	to	do	you	0.032640
i	would	like	post	0.032640
happy	birthday	to	this	0.032000
have	a	good	morning	0.032000
help	me	with	my	0.032000
how	are	you	need	0.032000
how	are	you	want	0.032000
how	much	is	there	0.032000
im	so	sorry	for	0.032000
running	late	to	my	0.032000
talk	to	you	will	0.032000
what	about	you	are	0.032000
what	do	you	will	0.032000
what	time	is	the	0.032000
looking	forward	to	make	0.030400
looking	forward	to	see	0.030400
looking	forward	to	go	0.030400
looking	forward	to	have	0.030400
i	would	like	share	0.030080
how	about	it	is	0.030000
i	have	to	our	0.030000
i	would	love	you	0.030000
im	sorry	for	our	0.030000
im	sorry	about	the	0.030000
meet	me	at	our	0.030000
meet	me	there	are	0.030000
running	late	for	their	0.030000
thank	you	for	our	0.030000
what	about	it	is	0.030000
would	you	like	friend	0.030000
how	long	are	you	0.028800
have	a	good	night	0.028800
how	about	we	are	0.028800
how	about	you	are	0.028800
how	can	i	have	0.028800
let	us	know	what	0.028800
thank	you	so	much	0.028800
when	will	it	was	0.028800
would	you	like	party	0.028400
how	did	you	can	0.028000
i	hope	you	can	0.028000
when	will	you	can	0.028000
who	are	you	can	0.028000
why	are	you	can	0.028000
why	did	you	can	0.028000
help	me	with	your	0.028000
how	do	you	need	0.028000
how	do	you	want	0.028000
i	need	to	get	0.028000
i	want	to	get	0.028000
running	late	to	your	0.028000
what	are	you	will	0.028000
when	are	you	will	0.028000
where	do	you	will	0.028000
im	going	to	make	0.027200
im	going	to	see	0.027200
im	going	to	go	0.027200
im	going	to	have	0.027200
im	sorry	about	a	0.027000
do	you	need	to	0.026880
i	dont	need	to	0.026880
would	you	like	event	0.026800
let	me	know	how	0.026400
nice	to	meet	the	0.026400
what	is	going	to	0.026400
when	are	going	to	0.026400
where	are	you	should	0.026400
hey	how	are	you	0.025920
happy	birthday	to	be	0.025600
hope	you	have	to	0.025600
how	are	you	too	0.025600
how	are	you	might	0.025600
how	are	you	could	0.025600
how	are	you	were	0.025600
how	are	you	dont	0.025600
how	is	it	will	0.025600
how	is	it	has	0.025600
how	much	is	the	0.025600
talk	to	you	know	0.025600
talk	to	you	have	0.025600
we	will	let	me	0.025600
what	do	you	know	0.025600
what	do	you	have	0.025600
thank	you	want	to	0.025200
there	are	you	can	0.025200
would	you	like	invite	0.025200
i	have	to	their	0.025000
im	sorry	for	their	0.025000
meet	me	at	their	0.025000
thank	you	for	their	0.025000
i	would	like	comment	0.024960
can	we	meet	you	0.024000
happy	birthday	to	that	0.024000
help	me	with	our	0.024000
how	about	this	is	0.024000
how	can	i	will	0.024000
i	dont	know	what	0.024000
i	love	you	will	0.024000
i	think	it	is	0.024000
im	sorry	about	my	0.024000
im	sorry	to	the	0.024000
let	us	know	if	0.024000
let	us	know	that	0.024000
let	us	see	you	0.024000
pick	me	from	the	0.024000
running	late	for	this	0.024000
running	late	to	our	0.024000
take	care	of	a	0.024000
wait	for	it	is	0.024000
what	about	this	is	0.024000
what	did	you	will	0.024000
what	time	is	a	0.024000
what	time	is	not	0.024000
when	do	you	will	0.024000
why	do	you	will	0.024000
would	you	like	message	0.023600
