# Trilateral root → common surface forms (UTF-8, one root per line)
# Format: root<TAB>word1,word2,word3,...
كتب	كتب,كاتب,مكتوب,يكتب,كتاب,مكتبة,كتبت,نكتب,كتبوا,مراسلة,رسالة,رسائل
قرا	قرأ,قارئ,مقروء,يقرأ,قراءة,قرأت,نقرأ,اقرأ
علم	علم,عالم,معلوم,يعلم,علوم,علمت,نعلم,اعلم
عمل	عمل,عامل,معمل,يعمل,أعمال,عملت,نعمل,اعمل
ذهب	ذهب,ذاهب,مذهب,يذهب,مغادر,ذهبت,نذهب
جاء	جاء,جاي,يجي,مجيء,جئت,نجي,تعال
قال	قال,قائل,مقال,يقول,قول,قالت,نقول,قل
كان	كان,كائن,يكون,كون,كنت,نكون,تكون
اكل	أكل,آكل,يأكل,أكلة,أكلت,نأكل,كل
شرب	شرب,شارب,يشرب,مشروب,شربت,نشرب,اشرب
حب	حب,حبيب,يحب,محبة,حببت,نحب,احبب
سكن	سكن,ساكن,يسكن,مسكن,سكنت,نسكن,اسكن
درس	درس,دارس,يدرس,مدرسة,درست,ندرس,ادرس
لعب	لعب,لاعب,يلعب,لعبة,لعبت,نلعب,العب
فتح	فتح,فاتح,يفتح,مفتاح,فتحت,نفتح,افتح
غلق	أغلق,غالق,يغلق,مغلق,أغلقت,نغلق,اغلق
دخل	دخل,داخل,يدخل,مدخل,دخلت,ندخل,ادخل
خرج	خرج,خارج,يخرج,مخرج,خرجت,نخرج,اخرج
نام	نام,نائم,ينام,منام,نمت,ننام,نم
سلم	سلم,سلام,مسلم,يسلم,مسلمة,سلمت,نسلم
حمد	حمد,محمود,يحمد,حمدا,حمدت,نحمد,احمد
صلي	صلى,مصلي,يصلي,صلاة,صليت,نصلي,صل
صوم	صام,صائم,يصوم,صيام,صمت,نصوم,صم
كرم	كرم,كريم,يكرم,كرامة,كرمت,نكرم,اكرم
جمل	جميل,جمال,أجمل,تجميل,جميلة
كبر	كبر,كبير,يكبر,تكبير,كبرت,نكبر
صغر	صغر,صغير,يصغر,تصغير,صغرت,نصغر
جدد	جدد,جديد,تجديد,جددت,نجدد,اجدد
قدم	قدم,قديم,مقدم,قدمت,نقدم,قدم
سرع	سرع,سريع,يسرع,سرعة,أسرع,سرعت
بطء	بطء,بطيء,يبطئ,بطأ,أبطأ
طعم	طعم,طعام,أطعمة,لذيذ,طعاما
ماء	ماء,مياه,سقى,يسقي,سقيت
نار	نار,نيران,حريق,أشعل,أشعلت
ارض	أرض,أراض,زراعة,زارع,يزرع
سماء	سماء,سماوات,سحاب,غيم
بحر	بحر,بحار,ساحل,مار,مارين
مدن	مدينة,مدن,عاصمة,بلدة
بلد	بلد,بلاد,وطن,مواطن,وطني
وقت	وقت,أوقات,ساعة,دقيقة,لحظة
يوم	يوم,أيام,غدا,أمس,اليوم
ليل	ليل,ليالي,ليلة,مساء,مساءا
صبح	صباح,صبح,صباحا,باكر,مبكر
مسي	مساء,أمسى,مساءا,عشاء,عشاءا
رحل	رحل,راحل,يرحل,مغادرة,رحلة,رحلت,نرحل,ارحل
جلس	جلس,جالس,يجلس,مجلس,جلسة,جلسنا
وقف	وقف,واقف,يقف,موقف,وقفت,نقف
ركض	ركض,راكض,يركض,ركضت,نركض,اركض
مشي	مشى,ماش,يمشي,مشيت,نمشي,امش
تكلم	تكلم,متكلم,يتكلم,كلام,تكلمت,نتكلم
سمع	سمع,سامع,يسمع,مسموع,سمعت,نسمع,اسمع
نظر	نظر,ناظر,ينظر,منظر,نظرت,ننظر,انظر
فكر	فكر,فكير,يفكر,فكرة,فكرت,نفكر,فكر
عرف	عرف,عارف,يعرف,معرفة,عرفت,نعرف,اعرف
نسي	نسي,ناس,ينسى,نسيان,نسيت,ننسى,انس
تذكر	تذكر,متذكر,يتذكر,ذكرى,تذكرت,نتذكر,اذكر
احب	أحب,محب,يحب,حب,أحببت,نحب
كره	كره,كاره,يكره,كراهة,كرهت,نكره
فرح	فرح,فرحان,يفرح,فرحة,فرحت,نفرح,افرح
حزن	حزن,حزين,يحزن,حزينة,حزنت,نحزن,احزن
خاف	خاف,خائف,يخاف,خوف,خفت,نخاف,اخاف
امن	أمن,آمن,يأمن,أمان,أمنت,نأمن,امن
رجا	رجا,راج,يرجو,رجاء,رجوت,نرجو,ارجو
دعا	دعا,داع,يدعو,دعاء,دعوت,ندعو,ادع
شكر	شكر,شاكر,يشكر,شكرا,شكرت,نشكر,اشكر
عفا	عفا,عاف,يعفو,عفو,عفوت,نعفو,اعف
غفر	غفر,غافر,يغفر,مغفرة,غفرت,نغفر,اغفر
هدف	هدف,أهداف,هدفت,نهدف,اهدف
نجح	نجح,ناجح,ينجح,نجاح,نجحت,ننجح,انجح
